filename,rat_id,sizes,complex,ripple,swr
dataset_HPCpyra_ratID210.hdf5,210,"(1005, 8, 60)",80,409,516
dataset_HPCpyra_ratID206.hdf5,206,"(1079, 8, 60)",354,558,167
dataset_HPCpyra_ratID3.hdf5,3,"(210, 8, 60)",51,130,29
dataset_PFCshal_ratID213.hdf5,213,"(300, 64, 2400)",107,139,54
dataset_HPCpyra_ratID203.hdf5,203,"(1016, 8, 60)",262,488,266
dataset_HPCpyra_ratID211.hdf5,211,"(925, 8, 60)",276,488,161
dataset_PFCshal_ratID203.hdf5,203,"(1016, 64, 2400)",262,488,266
dataset_PFCshal_ratID206.hdf5,206,"(1079, 64, 2400)",354,558,167
dataset_PFCshal_ratID4.hdf5,4,"(546, 64, 2400)",291,230,25
dataset_PFCshal_ratID210.hdf5,210,"(1005, 64, 2400)",80,409,516
dataset_PFCshal_ratID211.hdf5,211,"(925, 64, 2400)",276,488,161
dataset_PFCshal_ratID201.hdf5,201,"(1616, 64, 2400)",167,446,1003
dataset_PFCshal_ratID9.hdf5,9,"(1850, 64, 2400)",179,881,790
dataset_HPCpyra_ratID9.hdf5,9,"(1850, 8, 60)",179,881,790
dataset_HPCpyra_ratID213.hdf5,213,"(300, 8, 60)",107,139,54
dataset_PFCshal_ratID3.hdf5,3,"(210, 64, 2400)",51,130,29
dataset_HPCpyra_ratID4.hdf5,4,"(546, 8, 60)",291,230,25
dataset_HPCpyra_ratID201.hdf5,201,"(1616, 8, 60)",167,446,1003
